Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/3/20,KR,Republic of Korea,WPRO,0,0,0,0
1/4/20,KR,Republic of Korea,WPRO,0,0,0,0
1/5/20,KR,Republic of Korea,WPRO,0,0,0,0
1/6/20,KR,Republic of Korea,WPRO,0,0,0,0
1/7/20,KR,Republic of Korea,WPRO,0,0,0,0
1/8/20,KR,Republic of Korea,WPRO,0,0,0,0
1/9/20,KR,Republic of Korea,WPRO,0,0,0,0
1/10/20,KR,Republic of Korea,WPRO,0,0,0,0
1/11/20,KR,Republic of Korea,WPRO,0,0,0,0
1/12/20,KR,Republic of Korea,WPRO,0,0,0,0
1/13/20,KR,Republic of Korea,WPRO,0,0,0,0
1/14/20,KR,Republic of Korea,WPRO,0,0,0,0
1/15/20,KR,Republic of Korea,WPRO,0,0,0,0
1/16/20,KR,Republic of Korea,WPRO,0,0,0,0
1/17/20,KR,Republic of Korea,WPRO,0,0,0,0
1/18/20,KR,Republic of Korea,WPRO,0,0,0,0
1/19/20,KR,Republic of Korea,WPRO,1,1,0,0
1/20/20,KR,Republic of Korea,WPRO,0,1,0,0
1/21/20,KR,Republic of Korea,WPRO,0,1,0,0
1/22/20,KR,Republic of Korea,WPRO,0,1,0,0
1/23/20,KR,Republic of Korea,WPRO,0,1,0,0
1/24/20,KR,Republic of Korea,WPRO,1,2,0,0
1/25/20,KR,Republic of Korea,WPRO,0,2,0,0
1/26/20,KR,Republic of Korea,WPRO,1,3,0,0
1/27/20,KR,Republic of Korea,WPRO,1,4,0,0
1/28/20,KR,Republic of Korea,WPRO,0,4,0,0
1/29/20,KR,Republic of Korea,WPRO,0,4,0,0
1/30/20,KR,Republic of Korea,WPRO,3,7,0,0
1/31/20,KR,Republic of Korea,WPRO,4,11,0,0
2/1/20,KR,Republic of Korea,WPRO,1,12,0,0
2/2/20,KR,Republic of Korea,WPRO,3,15,0,0
2/3/20,KR,Republic of Korea,WPRO,0,15,0,0
2/4/20,KR,Republic of Korea,WPRO,1,16,0,0
2/5/20,KR,Republic of Korea,WPRO,5,21,0,0
2/6/20,KR,Republic of Korea,WPRO,3,24,0,0
2/7/20,KR,Republic of Korea,WPRO,0,24,0,0
2/8/20,KR,Republic of Korea,WPRO,0,24,0,0
2/9/20,KR,Republic of Korea,WPRO,3,27,0,0
2/10/20,KR,Republic of Korea,WPRO,1,28,0,0
2/11/20,KR,Republic of Korea,WPRO,0,28,0,0
2/12/20,KR,Republic of Korea,WPRO,0,28,0,0
2/13/20,KR,Republic of Korea,WPRO,0,28,0,0
2/14/20,KR,Republic of Korea,WPRO,0,28,0,0
2/15/20,KR,Republic of Korea,WPRO,0,28,0,0
2/16/20,KR,Republic of Korea,WPRO,2,30,0,0
2/17/20,KR,Republic of Korea,WPRO,0,30,0,0
2/18/20,KR,Republic of Korea,WPRO,2,32,0,0
2/19/20,KR,Republic of Korea,WPRO,34,66,0,0
2/20/20,KR,Republic of Korea,WPRO,16,82,1,1
2/21/20,KR,Republic of Korea,WPRO,74,156,0,1
2/22/20,KR,Republic of Korea,WPRO,190,346,2,3
2/23/20,KR,Republic of Korea,WPRO,210,556,0,3
2/24/20,KR,Republic of Korea,WPRO,207,763,4,7
2/25/20,KR,Republic of Korea,WPRO,130,893,1,8
2/26/20,KR,Republic of Korea,WPRO,253,1146,3,11
2/27/20,KR,Republic of Korea,WPRO,449,1595,1,12
2/28/20,KR,Republic of Korea,WPRO,427,2022,1,13
2/29/20,KR,Republic of Korea,WPRO,909,2931,3,16
3/1/20,KR,Republic of Korea,WPRO,595,3526,1,17
3/2/20,KR,Republic of Korea,WPRO,686,4212,6,23
3/3/20,KR,Republic of Korea,WPRO,600,4812,5,28
3/4/20,KR,Republic of Korea,WPRO,516,5328,4,32
3/5/20,KR,Republic of Korea,WPRO,438,5766,3,35
3/6/20,KR,Republic of Korea,WPRO,518,6284,7,42
3/7/20,KR,Republic of Korea,WPRO,483,6767,2,44
3/8/20,KR,Republic of Korea,WPRO,367,7134,6,50
3/9/20,KR,Republic of Korea,WPRO,248,7382,1,51
3/10/20,KR,Republic of Korea,WPRO,131,7513,3,54
3/11/20,KR,Republic of Korea,WPRO,242,7755,6,60
3/12/20,KR,Republic of Korea,WPRO,114,7869,6,66
3/13/20,KR,Republic of Korea,WPRO,110,7979,1,67
3/14/20,KR,Republic of Korea,WPRO,107,8086,5,72
3/15/20,KR,Republic of Korea,WPRO,76,8162,3,75
3/16/20,KR,Republic of Korea,WPRO,74,8236,0,75
3/17/20,KR,Republic of Korea,WPRO,84,8320,6,81
3/18/20,KR,Republic of Korea,WPRO,93,8413,3,84
3/19/20,KR,Republic of Korea,WPRO,152,8565,7,91
3/20/20,KR,Republic of Korea,WPRO,87,8652,3,94
3/21/20,KR,Republic of Korea,WPRO,147,8799,8,102
3/22/20,KR,Republic of Korea,WPRO,98,8897,2,104
3/23/20,KR,Republic of Korea,WPRO,64,8961,7,111
3/24/20,KR,Republic of Korea,WPRO,76,9037,9,120
3/25/20,KR,Republic of Korea,WPRO,100,9137,6,126
3/26/20,KR,Republic of Korea,WPRO,104,9241,5,131
3/27/20,KR,Republic of Korea,WPRO,91,9332,8,139
3/28/20,KR,Republic of Korea,WPRO,146,9478,5,144
3/29/20,KR,Republic of Korea,WPRO,105,9583,8,152
3/30/20,KR,Republic of Korea,WPRO,78,9661,6,158
3/31/20,KR,Republic of Korea,WPRO,125,9786,4,162
4/1/20,KR,Republic of Korea,WPRO,101,9887,3,165
4/2/20,KR,Republic of Korea,WPRO,89,9976,4,169
4/3/20,KR,Republic of Korea,WPRO,86,10062,5,174
4/4/20,KR,Republic of Korea,WPRO,94,10156,3,177
4/5/20,KR,Republic of Korea,WPRO,81,10237,6,183
4/6/20,KR,Republic of Korea,WPRO,47,10284,3,186
4/7/20,KR,Republic of Korea,WPRO,47,10331,6,192
4/8/20,KR,Republic of Korea,WPRO,53,10384,8,200
4/9/20,KR,Republic of Korea,WPRO,39,10423,4,204
